date,demand,hour
2081-01-01,1.1,1
2081-01-01,1.01,2
2081-01-01,0.99,3
2081-01-01,1.0,4
2081-01-01,1.18,5
2081-01-01,1.49,6
2081-01-01,1.96,7
2081-01-01,2.13,8
2081-01-01,1.99,9
2081-01-01,2.22,10
2081-01-01,2.14,11
2081-01-01,2.04,12
2081-01-01,1.89,13
2081-01-01,1.9,14
2081-01-01,1.93,15
2081-01-01,2.0,16
2081-01-01,2.08,17
2081-01-01,2.21,18
2081-01-01,2.48,19
2081-01-01,2.46,20
2081-01-01,2.09,21
2081-01-01,1.68,22
2081-01-01,1.35,23
2081-01-01,1.11,24
2081-01-02,0.98,1
2081-01-02,0.94,2
2081-01-02,0.91,3
2081-01-02,0.93,4
2081-01-02,1.08,5
2081-01-02,1.43,6
2081-01-02,1.97,7
2081-01-02,2.19,8
2081-01-02,2.14,9
2081-01-02,2.33,10
2081-01-02,2.39,11
2081-01-02,2.34,12
2081-01-02,2.28,13
2081-01-02,2.26,14
2081-01-02,2.26,15
2081-01-02,2.24,16
2081-01-02,2.22,17
2081-01-02,2.31,18
2081-01-02,2.55,19
2081-01-02,2.55,20
2081-01-02,2.15,21
2081-01-02,1.74,22
2081-01-02,1.41,23
2081-01-02,1.16,24
2081-01-03,1.02,1
2081-01-03,1.0,2
2081-01-03,0.94,3
2081-01-03,0.92,4
2081-01-03,1.13,5
2081-01-03,1.51,6
2081-01-03,1.98,7
2081-01-03,2.21,8
2081-01-03,2.18,9
2081-01-03,2.29,10
2081-01-03,2.4,11
2081-01-03,2.31,12
2081-01-03,2.15,13
2081-01-03,2.18,14
2081-01-03,2.24,15
2081-01-03,2.14,16
2081-01-03,2.16,17
2081-01-03,2.36,18
2081-01-03,2.56,19
2081-01-03,2.59,20
2081-01-03,2.16,21
2081-01-03,1.75,22
2081-01-03,1.37,23
2081-01-03,1.12,24
2081-01-04,1.08,1
2081-01-04,0.93,2
2081-01-04,0.92,3
2081-01-04,0.92,4
2081-01-04,1.03,5
2081-01-04,1.3,6
2081-01-04,1.73,7
2081-01-04,1.95,8
2081-01-04,1.97,9
2081-01-04,2.04,10
2081-01-04,2.0,11
2081-01-04,1.88,12
2081-01-04,1.64,13
2081-01-04,1.68,14
2081-01-04,1.71,15
2081-01-04,1.77,16
2081-01-04,1.73,17
2081-01-04,2.14,18
2081-01-04,2.43,19
2081-01-04,2.44,20
2081-01-04,2.01,21
2081-01-04,1.67,22
2081-01-04,1.34,23
2081-01-04,1.19,24
2081-01-05,0.93,1
2081-01-05,0.9,2
2081-01-05,0.89,3
2081-01-05,0.86,4
2081-01-05,1.14,5
2081-01-05,1.38,6
2081-01-05,1.9,7
2081-01-05,2.3,8
2081-01-05,2.16,9
2081-01-05,2.29,10
2081-01-05,2.32,11
2081-01-05,2.31,12
2081-01-05,2.24,13
2081-01-05,2.24,14
2081-01-05,2.18,15
2081-01-05,2.21,16
2081-01-05,2.26,17
2081-01-05,2.24,18
2081-01-05,2.52,19
2081-01-05,2.51,20
2081-01-05,2.05,21
2081-01-05,1.64,22
2081-01-05,1.28,23
2081-01-05,1.09,24
2081-01-06,0.97,1
2081-01-06,0.9,2
2081-01-06,0.89,3
2081-01-06,0.89,4
2081-01-06,1.01,5
2081-01-06,1.41,6
2081-01-06,1.95,7
2081-01-06,2.21,8
2081-01-06,2.16,9
2081-01-06,2.28,10
2081-01-06,2.24,11
2081-01-06,2.22,12
2081-01-06,2.23,13
2081-01-06,2.22,14
2081-01-06,2.16,15
2081-01-06,2.2,16
2081-01-06,2.2,17
2081-01-06,2.2,18
2081-01-06,2.56,19
2081-01-06,2.51,20
2081-01-06,2.07,21
2081-01-06,1.66,22
2081-01-06,1.31,23
2081-01-06,1.12,24
2081-01-07,0.91,1
2081-01-07,0.88,2
2081-01-07,0.87,3
2081-01-07,0.86,4
2081-01-07,1.0,5
2081-01-07,1.39,6
2081-01-07,1.93,7
2081-01-07,2.2,8
2081-01-07,2.13,9
2081-01-07,2.32,10
2081-01-07,2.36,11
2081-01-07,2.3,12
2081-01-07,2.24,13
2081-01-07,2.25,14
2081-01-07,2.24,15
2081-01-07,2.22,16
2081-01-07,2.21,17
2081-01-07,2.24,18
2081-01-07,2.52,19
2081-01-07,2.51,20
2081-01-07,2.11,21
2081-01-07,1.64,22
2081-01-07,1.21,23
2081-01-07,1.06,24
2081-01-08,0.97,1
2081-01-08,0.94,2
2081-01-08,0.88,3
2081-01-08,0.89,4
2081-01-08,1.03,5
2081-01-08,1.41,6
2081-01-08,1.95,7
2081-01-08,2.19,8
2081-01-08,2.14,9
2081-01-08,2.25,10
2081-01-08,2.26,11
2081-01-08,2.16,12
2081-01-08,2.12,13
2081-01-08,2.09,14
2081-01-08,2.14,15
2081-01-08,2.19,16
2081-01-08,2.21,17
2081-01-08,2.25,18
2081-01-08,2.5,19
2081-01-08,2.51,20
2081-01-08,2.13,21
2081-01-08,1.71,22
2081-01-08,1.26,23
2081-01-08,1.05,24
2081-01-09,0.97,1
2081-01-09,0.91,2
2081-01-09,0.95,3
2081-01-09,0.91,4
2081-01-09,1.07,5
2081-01-09,1.44,6
2081-01-09,2.2,7
2081-01-09,2.26,8
2081-01-09,2.28,9
2081-01-09,2.26,10
2081-01-09,2.37,11
2081-01-09,2.29,12
2081-01-09,2.23,13
2081-01-09,2.18,14
2081-01-09,2.21,15
2081-01-09,2.19,16
2081-01-09,2.25,17
2081-01-09,2.26,18
2081-01-09,2.59,19
2081-01-09,2.54,20
2081-01-09,2.06,21
2081-01-09,1.53,22
2081-01-09,1.25,23
2081-01-09,1.11,24
2081-01-10,1.01,1
2081-01-10,0.99,2
2081-01-10,0.96,3
2081-01-10,0.92,4
2081-01-10,1.03,5
2081-01-10,1.41,6
2081-01-10,2.03,7
2081-01-10,2.3,8
2081-01-10,2.17,9
2081-01-10,2.38,10
2081-01-10,2.35,11
2081-01-10,2.38,12
2081-01-10,2.33,13
2081-01-10,2.28,14
2081-01-10,2.23,15
2081-01-10,2.19,16
2081-01-10,2.13,17
2081-01-10,2.28,18
2081-01-10,2.59,19
2081-01-10,2.53,20
2081-01-10,1.99,21
2081-01-10,1.52,22
2081-01-10,1.24,23
2081-01-10,1.11,24
2081-01-11,1.01,1
2081-01-11,0.98,2
2081-01-11,0.91,3
2081-01-11,0.91,4
2081-01-11,1.14,5
2081-01-11,1.36,6
2081-01-11,1.74,7
2081-01-11,2.01,8
2081-01-11,2.06,9
2081-01-11,2.17,10
2081-01-11,2.18,11
2081-01-11,2.05,12
2081-01-11,1.92,13
2081-01-11,1.85,14
2081-01-11,1.82,15
2081-01-11,1.81,16
2081-01-11,1.74,17
2081-01-11,2.05,18
2081-01-11,2.44,19
2081-01-11,2.36,20
2081-01-11,1.92,21
2081-01-11,1.55,22
2081-01-11,1.2,23
2081-01-11,1.05,24
2081-01-12,0.95,1
2081-01-12,0.9,2
2081-01-12,0.89,3
2081-01-12,0.9,4
2081-01-12,1.04,5
2081-01-12,1.43,6
2081-01-12,1.97,7
2081-01-12,2.26,8
2081-01-12,2.13,9
2081-01-12,2.34,10
2081-01-12,2.31,11
2081-01-12,2.25,12
2081-01-12,2.27,13
2081-01-12,2.21,14
2081-01-12,2.22,15
2081-01-12,2.26,16
2081-01-12,2.21,17
2081-01-12,2.23,18
2081-01-12,2.56,19
2081-01-12,2.53,20
2081-01-12,2.1,21
2081-01-12,1.52,22
2081-01-12,1.15,23
2081-01-12,1.04,24
2081-01-13,0.94,1
2081-01-13,0.92,2
2081-01-13,0.9,3
2081-01-13,0.91,4
2081-01-13,1.03,5
2081-01-13,1.42,6
2081-01-13,2.0,7
2081-01-13,2.2,8
2081-01-13,2.16,9
2081-01-13,2.36,10
2081-01-13,2.31,11
2081-01-13,2.29,12
2081-01-13,2.23,13
2081-01-13,2.23,14
2081-01-13,2.25,15
2081-01-13,2.21,16
2081-01-13,2.23,17
2081-01-13,2.26,18
2081-01-13,2.55,19
2081-01-13,2.53,20
2081-01-13,2.1,21
2081-01-13,1.66,22
2081-01-13,1.16,23
2081-01-13,1.01,24
2081-01-14,0.98,1
2081-01-14,0.92,2
2081-01-14,0.92,3
2081-01-14,0.92,4
2081-01-14,1.03,5
2081-01-14,1.44,6
2081-01-14,1.98,7
2081-01-14,2.19,8
2081-01-14,2.13,9
2081-01-14,2.38,10
2081-01-14,2.44,11
2081-01-14,2.35,12
2081-01-14,2.28,13
2081-01-14,2.24,14
2081-01-14,2.25,15
2081-01-14,2.14,16
2081-01-14,2.16,17
2081-01-14,2.3,18
2081-01-14,2.54,19
2081-01-14,2.53,20
2081-01-14,2.1,21
2081-01-14,1.66,22
2081-01-14,1.3,23
2081-01-14,1.06,24
2081-01-15,0.91,1
2081-01-15,0.89,2
2081-01-15,0.89,3
2081-01-15,0.88,4
2081-01-15,0.98,5
2081-01-15,1.4,6
2081-01-15,1.96,7
2081-01-15,2.19,8
2081-01-15,2.13,9
2081-01-15,2.35,10
2081-01-15,2.38,11
2081-01-15,2.33,12
2081-01-15,2.26,13
2081-01-15,2.23,14
2081-01-15,2.22,15
2081-01-15,2.19,16
2081-01-15,2.22,17
2081-01-15,2.25,18
2081-01-15,2.54,19
2081-01-15,2.53,20
2081-01-15,2.12,21
2081-01-15,1.69,22
2081-01-15,1.27,23
2081-01-15,1.08,24
2081-01-16,0.97,1
2081-01-16,0.96,2
2081-01-16,0.87,3
2081-01-16,0.92,4
2081-01-16,1.08,5
2081-01-16,1.43,6
2081-01-16,2.01,7
2081-01-16,2.24,8
2081-01-16,2.17,9
2081-01-16,2.35,10
2081-01-16,2.4,11
2081-01-16,2.32,12
